OBJECTID_12,Join_Count,TARGET_FID,CT20,LABEL,NAME,SUP_NAME,DIST_SUP,CITYNAME_ALF,NAME_1,JURISDICTION,AREA_NUM,AREA_NAME,Shape__Area,Shape__Length
1059,2,1059,293301,2933.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1227123.852,5251.889555
1060,2,1060,293302,2933.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1625200.359,5639.699666
1061,1,1061,293304,2933.04,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,826696.5273,3646.516114
1062,1,1062,293306,2933.06,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,893176.3398,4231.116277
1063,1,1063,293307,2933.07,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,491886.3945,3362.762637
1064,2,1064,294110,2941.1,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1436114.934,6124.606613
1065,2,1065,294120,2941.2,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,2266146.313,6280.578853
1066,2,1066,294200,2942,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1384592.891,4735.24008
1067,2,1067,294301,2943.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1035122.004,4286.744024
1068,1,1068,294302,2943.02,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1219598.516,5376.525445
1069,2,1069,294410,2944.1,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1210393.387,4623.428015
1070,2,1070,294421,2944.21,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,977270.6797,6032.292429
1071,1,1071,294510,2945.1,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,752172.207,3615.627011
1072,1,1072,294520,2945.2,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,702609.1523,3500.589069
1073,1,1073,294610,2946.1,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1195716.906,4389.41189
1074,1,1074,294620,2946.2,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1221541.832,4656.651401
1075,1,1075,294701,2947.01,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,2545212.984,7285.654323
1076,1,1076,294810,2948.1,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,465056.8164,2779.331654
1077,1,1077,294820,2948.2,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,556517.7227,3012.53086
1078,1,1078,294830,2948.3,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,1285385.297,5025.824524
1079,1,1079,294900,2949,4TH SUP. DISTRICT,4TH DISTRICT: JANICE HAHN,4,LOS ANGELES,,INCORPORATED CITY,11,South Bay Planning Area,935257.2617,5004.032885
