GEO_ID,Total,White,Black,NativeAmerican,Asian,HawaiianAPI,Other,Twoplus,TwoplusOther,TwominusOther_Threeplus
06037101110,4014,2426,161,8,390,0,397,632,410,222
06037101122,4164,2909,76,22,582,0,240,335,123,212
06037101220,3481,1904,0,87,433,0,469,588,502,86
06037101221,3756,2181,101,35,314,0,711,414,354,60
06037101222,2808,1525,15,74,138,37,45,974,887,87
06037101300,4071,3218,66,0,210,0,174,403,188,215
06037101400,3490,2169,59,0,391,0,304,567,238,329
06037102103,1834,1512,23,0,242,0,12,45,11,34
06037102104,4033,2989,82,10,473,0,65,414,99,315
06037102105,1610,508,9,19,107,6,421,540,461,79
06037102107,3577,2571,23,0,356,0,155,472,307,165
06037103101,2726,1877,40,0,202,0,219,388,278,110
06037103102,4550,3346,21,0,367,0,516,300,159,141
06037103201,4291,2934,95,0,306,6,85,865,561,304
06037103202,2010,1415,19,0,38,0,525,13,1,12
06037103300,3816,2882,105,24,184,0,34,587,230,357
06037103401,2391,1593,0,15,476,0,107,200,114,86
06037103402,3829,2400,371,0,457,0,195,406,367,39
06037104103,4281,1334,561,36,230,0,807,1313,1149,164
06037104105,6195,2038,164,63,308,0,2512,1110,1070,40
06037104108,4962,1912,298,19,71,0,1364,1298,1177,121
06037104124,4006,1974,525,131,330,0,440,606,560,46
06037104201,4636,1215,527,80,172,0,1920,722,720,2
06037104203,5182,1614,205,115,86,0,1987,1175,1175,0
06037104204,3691,1555,190,60,202,0,937,747,656,91
06037104310,4392,1299,84,84,8,0,1861,1056,954,102
06037104321,2890,605,50,7,0,0,1390,838,827,11
06037104322,1787,552,5,8,16,4,773,429,394,35
06037104401,2977,906,30,13,38,5,1436,549,549,0
06037104403,2352,706,0,0,111,0,1143,392,354,38
06037104404,3323,994,0,16,83,0,1547,683,646,37
06037104500,3301,896,2,7,1,0,1269,1126,950,176
06037104610,3122,1151,0,37,0,0,1585,349,314,35
06037104620,3528,1256,33,31,13,0,1243,952,952,0
06037104701,3891,2051,7,58,8,13,1137,617,582,35
06037104703,2298,803,144,13,0,0,491,847,832,15
06037104704,4567,1462,394,0,203,0,1482,1026,950,76
06037104821,3431,1167,39,9,37,0,1323,856,846,10
06037104822,2461,805,6,17,81,0,914,638,556,82
06037104823,3362,987,130,0,251,0,789,1205,1139,66
06037104824,2657,566,0,57,0,13,1439,582,569,13
06037106010,3578,1759,29,22,56,0,953,759,703,56
06037106020,4576,1939,10,37,242,0,1561,787,595,192
06037106111,4859,2135,336,5,761,0,942,680,536,144
06037106112,5125,2259,168,104,414,34,1144,1002,756,246
06037106113,3871,1729,71,95,422,1,690,863,846,17
06037106114,6800,2655,130,36,755,0,2069,1155,1094,61
06037106403,3701,1640,61,23,52,69,1436,420,389,31
06037106405,4340,1690,431,36,272,0,909,1002,750,252
06037106406,6534,3056,123,0,521,0,1641,1193,1160,33
06037106407,2352,1105,196,10,69,0,670,302,285,17
06037106408,3733,1353,94,137,79,8,936,1126,964,162
06037106510,5717,2520,122,41,1275,0,1009,750,610,140
06037106520,5545,2606,332,108,163,0,1761,575,535,40
06037106603,3544,2070,83,0,570,0,206,615,531,84
06037106604,4010,1355,102,39,202,0,1516,796,768,28
06037106641,2197,1550,51,0,349,0,22,225,101,124
06037106642,3442,2450,82,54,242,0,214,400,354,46
06037106643,4306,2566,273,0,885,0,482,100,30,70
06037106645,3769,2785,9,147,382,0,212,234,156,78
06037106646,3011,1527,146,12,582,0,394,350,204,146
06037106648,4581,2347,0,128,0,0,1073,1033,887,146
06037106649,2776,672,28,10,541,0,1137,388,318,70
06037107010,3177,1299,28,129,97,0,956,668,649,19
06037107020,4610,1756,46,133,190,131,1116,1238,1143,95
06037108101,2274,1314,32,59,501,0,68,300,151,149
06037108102,3596,1829,57,0,1353,0,222,135,91,44
06037108103,2968,1757,59,0,757,0,45,350,177,173
06037108104,1738,923,81,0,374,0,213,147,110,37
06037108202,9302,3130,1457,36,3629,45,382,623,267,356
06037108203,3170,1110,533,86,1319,0,41,81,44,37
06037108204,1780,686,95,11,886,0,0,102,39,63
06037109100,2675,1285,97,34,462,0,467,330,307,23
06037109200,3161,728,118,0,1113,0,722,480,425,55
06037109300,2864,1322,96,0,425,0,425,596,434,162
06037109400,4175,1011,17,54,112,262,1706,1013,979,34
06037109500,3699,1201,13,28,225,0,1722,510,500,10
06037109601,4831,1737,100,63,475,0,1694,762,538,224
06037109603,3900,908,86,14,552,1,1960,379,285,94
06037109604,2900,870,75,150,306,1,1030,468,348,120
06037109700,4333,2349,257,13,580,0,438,696,404,292
06037109800,4584,2062,27,137,540,44,732,1042,895,147
06037111100,3076,1239,103,87,696,0,506,445,314,131
06037111201,3256,1743,10,31,507,0,466,499,499,0
06037111202,5670,2781,196,43,1210,0,321,1119,965,154
06037111204,5600,2805,163,9,1325,0,442,856,274,582
06037111205,3879,1694,136,0,994,0,797,258,145,113
06037111206,4363,2295,283,0,962,0,239,584,193,391
06037111302,4880,2397,308,5,1027,6,548,589,414,175
06037111303,4712,2492,144,5,975,0,310,786,653,133
06037111304,3106,540,326,57,468,0,1008,707,568,139
06037111401,2293,1313,49,71,393,0,257,210,203,7
06037111402,6146,3479,16,23,935,0,1045,648,558,90
06037113101,3525,2318,172,0,553,0,233,249,136,113
06037113102,2784,1667,31,0,422,0,96,568,295,273
06037113211,4248,2426,492,8,662,0,376,284,99,185
06037113212,2888,1018,119,71,828,0,504,348,122,226
06037113213,5087,2202,162,12,1057,0,749,905,346,559
06037113231,2161,1462,85,0,177,0,59,378,187,191
06037113232,4596,2794,199,0,630,0,429,544,187,357
06037113234,5653,1849,288,256,850,0,1713,697,657,40
06037113235,1727,917,82,9,51,0,367,301,124,177
06037113237,4725,2146,419,25,1177,0,283,675,288,387
06037113238,4547,1797,164,0,828,0,1352,406,86,320
06037113239,2343,743,303,25,285,10,882,95,87,8
06037113301,4830,2858,300,8,1068,40,197,359,289,70
06037113303,3774,2115,81,61,697,0,406,414,295,119
06037113322,4584,2564,614,43,524,0,349,490,295,195
06037113323,3619,1481,124,0,481,59,832,642,478,164
06037113324,2771,1270,178,0,324,0,129,870,816,54
06037113423,3077,1022,68,24,270,0,1164,529,429,100
06037113424,3346,1042,89,0,644,0,1194,377,160,217
06037113425,4499,1204,304,0,276,0,1979,736,585,151
06037113426,2322,731,15,0,414,0,734,428,325,103
06037113427,2360,643,325,4,327,0,873,188,80,108
06037113428,4222,2484,12,0,528,0,770,428,276,152
